Customer_ID,Age,Gender,Location,Occupation,Visit_Frequency,Preferred_Dining_Time,Average_Spend,Favorite_Cuisine,Total_Expenditure,Discount_Used,Payment_Method,Satisfaction_Rating,Phone
1,56,Male,Urban,Retired,16,Lunch,72.74473229,Italian,4351.74028,1,Online,5,5434874674
2,69,Male,Suburban,Professional,12,Weekend,27.40918087,Italian,3567.34087,1,Card,5,7200286789
3,46,Male,Urban,Student,12,Dinner,67.73540331,Indian,620.4477552,0,Card,3,7305864569
4,32,Female,Suburban,Student,6,Lunch,33.38453241,Indian,3901.798547,0,Online,2,2549512686
5,60,Male,Urban,Professional,4,Dinner,89.74774979,Italian,4058.990908,0,Online,4,9478835958
6,25,Male,Rural,Professional,6,Lunch,90.61209498,Chinese,3862.046627,0,Online,2,3993950161
7,38,Male,Suburban,Professional,11,Weekend,36.75584839,Italian,658.4328469,1,Cash,2,8837976915
8,56,Female,Rural,Professional,1,Weekend,30.69943786,Chinese,3255.14899,1,Cash,1,9127725311
9,36,Female,Suburban,Retired,15,Weekend,47.01735749,Italian,4188.191499,0,Cash,5,3318671388
10,40,Male,Rural,Student,11,Lunch,31.64784267,Mexican,2929.031666,0,Online,5,8298107936
11,28,Male,Urban,Retired,19,Dinner,70.5145459,Italian,3267.396139,1,Online,5,4026653020
12,28,Male,Urban,Student,18,Dinner,84.34582161,Italian,2345.981049,0,Cash,1,5698400236
13,41,Male,Urban,Student,17,Lunch,70.57829178,Indian,2690.665867,0,Card,3,1765443131
14,53,Female,Suburban,Professional,19,Lunch,84.19154025,Chinese,268.4466059,0,Cash,3,6207635543
15,57,Female,Rural,Retired,14,Dinner,45.7292946,Mexican,3230.918808,0,Card,4,1141410275
16,41,Female,Urban,Professional,18,Dinner,24.06852736,Chinese,499.0913432,1,Online,3,6242829210
17,20,Female,Rural,Retired,19,Dinner,76.41558527,Mexican,2231.571512,0,Online,3,2711071524
18,39,Male,Rural,Student,15,Dinner,42.44270546,Italian,1534.009979,1,Cash,5,4265785613
19,19,Male,Urban,Professional,15,Lunch,70.41437427,Indian,2772.596956,0,Cash,2,4777573643
20,41,Male,Urban,Professional,4,Lunch,34.35795478,Indian,753.7400441,0,Online,3,2638342451
21,61,Female,Rural,Student,7,Weekend,17.31066713,Chinese,3489.05267,1,Cash,3,6721768976
22,47,Male,Urban,Student,13,Dinner,99.33236159,Indian,3995.556531,0,Online,1,5235631004
23,55,Female,Urban,Student,3,Weekend,24.05813571,Chinese,900.4368037,1,Online,4,4817145779
24,19,Female,Urban,Professional,16,Lunch,98.95788946,Chinese,611.134128,0,Card,1,7734283287
25,38,Male,Suburban,Retired,9,Lunch,97.95519393,Mexican,813.0258657,0,Cash,5,3769306946
26,50,Male,Rural,Professional,8,Weekend,81.44362935,Chinese,4397.925053,0,Online,2,4064137358
27,29,Male,Rural,Retired,13,Dinner,69.34806659,Mexican,2688.127383,0,Cash,4,1946184975
28,39,Female,Suburban,Professional,17,Dinner,62.00263452,Indian,2389.57888,0,Card,1,3455385500
29,61,Male,Rural,Professional,17,Dinner,87.94913908,Chinese,622.8879136,1,Card,3,7348784197
30,42,Female,Urban,Student,17,Dinner,36.04955695,Chinese,3282.824433,1,Cash,3,8844380795
31,66,Male,Rural,Retired,1,Weekend,52.09130912,Italian,4353.198,0,Cash,4,5055531536
32,44,Female,Urban,Professional,8,Weekend,65.74509724,Chinese,4158.11076,0,Online,3,4406423666
33,59,Female,Suburban,Professional,19,Lunch,47.00714283,Chinese,3167.668074,1,Card,1,2778146423
34,45,Male,Urban,Student,6,Dinner,48.47378087,Italian,468.8657116,1,Card,1,9383278569
35,33,Female,Rural,Student,3,Dinner,39.72562008,Italian,650.7454332,0,Card,3,1381343275
36,32,Female,Rural,Retired,5,Dinner,60.7808635,Indian,341.6140368,0,Cash,3,6597118225
37,64,Male,Rural,Professional,13,Weekend,86.55170752,Chinese,1361.648161,1,Online,5,1982225619
38,68,Female,Suburban,Retired,15,Dinner,28.13755402,Indian,764.7411891,0,Cash,2,6264662667
39,61,Male,Suburban,Professional,14,Weekend,94.09897349,Indian,1374.235397,1,Cash,4,6734756150
40,69,Female,Rural,Retired,16,Dinner,72.01788884,Italian,1986.784473,0,Cash,1,5686171748
41,20,Male,Urban,Student,18,Dinner,84.09458914,Mexican,4720.615642,1,Online,4,7451456195
42,54,Male,Suburban,Professional,11,Lunch,60.05716234,Indian,3090.842693,1,Cash,5,6322539998
43,68,Female,Rural,Retired,3,Dinner,80.15650313,Mexican,4191.37155,0,Card,1,2485973198
44,24,Female,Rural,Student,10,Dinner,11.45803576,Chinese,3580.722353,1,Card,5,8562528362
45,38,Female,Suburban,Student,10,Lunch,83.65423823,Italian,651.2653396,0,Card,5,5244701339
46,26,Female,Suburban,Retired,16,Weekend,13.61249732,Chinese,3706.009991,0,Online,3,4161881037
47,56,Female,Suburban,Professional,12,Weekend,90.09220387,Chinese,1447.98452,0,Cash,4,4239643155
48,35,Male,Urban,Professional,2,Dinner,99.27664725,Italian,3231.62845,0,Online,4,6457601568
49,21,Female,Urban,Student,9,Weekend,36.4660716,Chinese,1770.713671,1,Cash,3,8085650215
50,42,Male,Rural,Professional,3,Dinner,28.92867007,Italian,4988.59409,0,Card,4,1069223269
51,31,Male,Suburban,Professional,15,Lunch,78.88270275,Mexican,1391.40225,0,Cash,3,1518659150
52,67,Female,Urban,Professional,3,Lunch,32.77237068,Chinese,1467.739307,0,Cash,1,4959332715
53,26,Male,Suburban,Student,19,Dinner,87.90061449,Italian,4660.294052,0,Cash,5,8513241678
54,43,Male,Rural,Retired,18,Lunch,19.25583329,Indian,220.7575827,1,Online,5,9606122028
55,19,Male,Urban,Professional,8,Lunch,21.33596767,Chinese,3513.776041,0,Cash,4,4623763049
56,37,Male,Urban,Student,17,Dinner,98.12363996,Mexican,3654.099315,1,Cash,2,5633952718
57,45,Female,Urban,Student,8,Dinner,70.64550084,Italian,4198.255029,1,Cash,5,3331376924
58,64,Male,Rural,Retired,7,Lunch,86.2198502,Chinese,4874.752622,1,Online,3,7167094899
59,24,Female,Suburban,Professional,7,Weekend,39.18964396,Chinese,4880.449404,0,Online,2,4183435016
60,61,Female,Urban,Professional,3,Weekend,70.88353746,Chinese,419.8561121,0,Online,2,2802070648
61,25,Male,Rural,Retired,1,Dinner,63.48176446,Mexican,4127.012681,0,Cash,5,2194890026
62,64,Female,Suburban,Retired,4,Dinner,64.28351081,Italian,3266.918675,0,Card,5,1425558708
63,52,Female,Rural,Student,5,Weekend,71.42792136,Indian,3271.976458,1,Card,5,3597322372
64,31,Female,Suburban,Student,1,Lunch,61.78232558,Indian,728.9146404,1,Card,3,7445188136
65,34,Male,Rural,Retired,15,Weekend,48.61561324,Indian,3285.917116,0,Cash,2,8315490741
66,53,Female,Suburban,Professional,5,Weekend,34.83304249,Italian,4914.164645,0,Card,4,3548249602
67,67,Female,Urban,Student,13,Weekend,79.17231978,Indian,4567.910991,0,Card,3,3418859498
68,57,Female,Suburban,Student,8,Weekend,30.3645187,Mexican,2251.740238,0,Card,1,8565058961
69,21,Male,Rural,Professional,8,Dinner,72.31188755,Italian,295.7450691,0,Cash,5,7194246532
70,19,Female,Rural,Student,5,Dinner,30.99995404,Chinese,1875.238101,0,Card,2,4925125339
71,23,Male,Suburban,Professional,9,Lunch,66.2797153,Mexican,4149.312527,0,Card,3,6371784514
72,59,Male,Urban,Professional,1,Lunch,77.23704404,Chinese,3537.345597,1,Cash,1,4282919587
73,21,Male,Urban,Professional,4,Lunch,29.68425,Indian,2350.783912,1,Online,3,3557760510
